"AÑO","MES","LÍNEA FONDER","TIPO DE PERSONA","TAMAÑO DE EMPRESA","SECTOR ECONÓMICO","MUNICIPIO","DESTINO","MONTO OTORGADO ($)","PLAZO","GENERO DEL SOLICITANTE","SITUACIÓN DEL SOLICITANTE","DESCENDENCIA DEL SOLICITANTE"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","3,500,000","24","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Palmira","Capital de trabajo","5,200,000","36","Mujer","Extrema pobreza","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","24","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","1,000,000","36","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","12","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Sevilla","Capital de trabajo","5,200,000","35","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Mujer","Otros","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,000,000","36","Hombre","Desplazado por conflicto armado","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","15","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","5,200,000","36","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","5,000,000","24","Mujer","Padre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Zarzal","Capital de trabajo","2,500,000","6","Mujer","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","5,200,000","16","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Jamundí","Capital de trabajo","5,200,000","36","Hombre","Padre cabeza de hogar","Otros"
"2,024","9","2","Persona Natural","Pequeña","Comercio","Cali","Capital de trabajo","15,000,000","36","Mujer","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","5,200,000","30","Hombre","Otros","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","3,000,000","36","Mujer","Desplazado por conflicto armado","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","3,500,000","36","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","2,200,000","36","Mujer","Desplazado por conflicto armado","Afrodescendiente"
"2,024","9","1","Persona Juridica","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Hombre","Ninguno","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","5,000,000","36","Mujer","Ninguno","Mulato"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","3,000,000","24","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","3,500,000","24","Mujer","Madre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","2,500,000","36","Mujer","Madre cabeza de hogar","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,200,000","36","Mujer","Otros","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Palmira","Capital de trabajo","3,000,000","36","Hombre","Otros","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Palmira","Capital de trabajo","5,200,000","36","Hombre","Ninguno","Otros"
"2,024","9","2","Persona Natural","Pequeña","Comercio","Buenaventura","Capital de trabajo","50,000,000","24","Hombre","Ninguno","Afrodescendiente"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Capital de trabajo","5,200,000","36","Hombre","Padre cabeza de hogar","Mestizo"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Capital de trabajo","5,000,000","24","Hombre","Ninguno","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Cali","Inversión","5,200,000","36","Hombre","Padre cabeza de hogar","Otros"
"2,024","9","1","Persona Natural","Microempresa","Comercio","Buenaventura","Inversión","5,200,000","36","Hombre","Desplazado por conflicto armado","Otros"
